ID,COURSECODE,COURSENAME,PROFESSOR,STARTTIME,ENDTIME,DAYS,INTAKE_COUNT,AVAILABILITY,CLASS_LEVEL,CLASS_CREDITS
1,cs5333.002.14f,Discrete Structures ,Yvo Desmedt,10:00am,11:15am,MF,75,64,5333 ,3
2,cs5333.001.14f,Discrete Structures ,Si Zheng,11:30am,12:45pm,Tues & Thurs,75,85,5333 ,3
3,cs5343.002.14f,Algorithm Analysis and Data Structures ,Neeraj Gupta,8:30am,9:45am,Tues & Thurs,60,62,5343 ,3
4,cs5343.001.14f,Algorithm Analysis and Data Structures ,Greg Ozbirn,1:00pm,2:15pm,Mon & Wed,65,67,5343 ,3
5,cs5348.001.14f,Operating Systems Concepts ,Michael Christiansen,2:30pm,3:45pm,Tues & Thurs,60,79,5348 ,3
6,cs5349.001.14f,Automata Theory ,William Pervin,8:30am,9:45am,Tues & Thurs,40,36,5349 ,3
7,cs5390.001.14f,Computer Networks ,Nhut Nguyen,8:30am,9:45am,Tues & Thurs,60,60,5390 ,3
8,cs5390.002.14f,Computer Networks ,Khiem Le,2:30pm,3:45pm,Tues & Thurs,40,17,5390 ,3
9,cs6301.010.14f,Special Topics in Computer Science ,Xiaohu Guo,1:00pm,2:15pm,Mon & Wed,50,34,6301 ,3
10,cs6301.502.14f,Special Topics in Computer Science ,Jeffrey Partyka,7:00pm,8:15pm,Mon & Wed,70,62,6301 ,3
11,cs6301.007.14f,Special Topics in Computer Science ,Nurcan Yuruk,1:00pm,3:45pm,Fri,60,58,6301 ,3
12,cs6301.001.14f,Special Topics in Computer Science ,Balakrishnan Prabhakaran,10:00am,11:15am,Mon & Wed,40,21,6301 ,3
13,cs6301.005.14f,Special Topics in Computer Science ,Kevin Hamlen,1:00pm,2:15pm,Mon & Wed,40,15,6301 ,3
14,cs6301.009.14f,Special Topics in Computer Science ,Mark Paulk,2:30pm,3:45pm,Mon & Wed,60,58,6301 ,3
15,cs6301.501.14f,Special Topics in Computer Science ,Mithun Balakrishna,6:00pm,8:45pm,Fri,60,61,6301 ,3
16,cs6301.003.14f,Special Topics in Computer Science ,Neeraj Mittal,11:30am,12:45pm,Mon & Wed,40,7,6301 ,3
17,cs6301.014.14f,Special Topics in Computer Science ,Ryan McMahan,2:30pm,3:45pm,Tues & Thurs,40,29,6301 ,3
18,cs6301.011.14f,Special Topics in Computer Science ,Latifur Khan,4:00pm,5:15pm,Mon & Wed,75,131,6301 ,3
